region,sc_duringchoice_amp_loc,sc_duringchoice_slope_last,sc_duringchoice_amp_slope,sc_duringchoice_slope_last_n,sc_duringchoice_move_shape,sc_duringchoice,sc_duringchoice_move_init,sc_duringchoice_integrator,sc_duringchoice_regtype,sc_duringstim_amp_slope,sc_duringstim,sc_duringstim0,sc_duringstim_move_init,sc_duringstim_integrator,sc_duringstim_regtype,sc_stim_regtype,amp_stim_s,amp_choice_s,amp_stim_se,amp_stim_se1,sigma_stim_s,sigma_stim_s_prime,stim_processor,stim_processor_loose,has_stim,has_choice,mixed_stim_choice,duringstim_label,duringchoice_label
MV,False,False,True,False,,1.0,0,1,0.5,True,1.0,1.0,0,1,0.5,,0.0,2.0895036745162585,0.0,0.0,0.0,0.0,False,False,False,True,False,integrator,integrator
SNr,False,False,True,False,,0.5134911222524043,0,1,0.5,True,0.4539671567021037,0.5112520537195567,0,1,0.5,0.1,5.955897930191128,6.230133695144106,0.0,1.5377226224469722,0.48874794628044327,0.5460328432978964,False,False,True,True,True,integrator,integrator
PCG,False,False,True,True,,1.0,0,1,0.5,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,integrator
CENT2,True,True,True,True,1.0,0.7026680489543735,1,0,1.0,True,0.574170408665354,0.6084931220877803,1,0,1.0,0.1,1.2993592615952183,2.019507749181919,0.0,0.19839497051552235,0.3915068779122197,0.425829591334646,False,False,True,True,True,move,move
SPVO,False,True,True,False,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
VPMpc,True,True,True,False,1.0,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
Eth,False,False,True,False,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
CS,False,False,True,True,,,0,0,,True,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
ENTm,False,False,False,False,,,0,0,,False,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
HATA,False,False,False,True,,,0,0,,False,,,0,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,,
